alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-12,0.20644638686281067,0.20644638686281067
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-11,0.19342950930118724,0.19342950930118724
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-10,0.21997588393874384,0.21997588393874384
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-9,0.21772738968911814,0.21772738968911814
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-8,0.2372403073361844,0.2372403073361844
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-7,0.23364221051135428,0.23364221051135428
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-6,0.20381337467199465,0.20381337467199465
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-5,0.219573831778115,0.219573831778115
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-4,0.21483205945579784,0.21483205945579784
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-3,0.2222764027901579,0.2222764027901579
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-2,0.24282288635416996,0.24282288635416996
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,-1,0.23121605333833445,0.23121605333833445
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,0,0.31001612896934105,0.31001612896934105
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,1,0.26511439885123167,0.26511439885123167
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,2,0.23569628293469547,0.23569628293469547
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,3,0.2265818669496985,0.2265818669496985
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,4,0.20048880079516015,0.20048880079516015
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,5,0.1890393766776544,0.1890393766776544
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,6,0.17204189993497931,0.17204189993497931
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,7,0.18568500269099636,0.18568500269099636
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,8,0.18023628639250777,0.18023628639250777
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,9,0.168587085443397,0.168587085443397
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,10,0.17382769505590978,0.17382769505590978
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,11,0.18047891527371798,0.18047891527371798
Adjacent Node IP Address Ping Failure,Cell RX Channel Interference Noise Power Unbalanced,12,0.19940766160584522,0.19940766160584522
Adjacent Node IP Address Ping Failure,Cell Unavailable,-12,0.051769339452439625,0.051769339452439625
Adjacent Node IP Address Ping Failure,Cell Unavailable,-11,0.05771624277841656,0.05771624277841656
Adjacent Node IP Address Ping Failure,Cell Unavailable,-10,0.06507769951218279,0.06507769951218279
Adjacent Node IP Address Ping Failure,Cell Unavailable,-9,0.04148837857688374,0.04148837857688374
Adjacent Node IP Address Ping Failure,Cell Unavailable,-8,0.04982546380456165,0.04982546380456165
Adjacent Node IP Address Ping Failure,Cell Unavailable,-7,0.05413799092768683,0.05413799092768683
Adjacent Node IP Address Ping Failure,Cell Unavailable,-6,0.051958333582359725,0.051958333582359725
Adjacent Node IP Address Ping Failure,Cell Unavailable,-5,0.062227508398238804,0.062227508398238804
