,Alarmname,Severity,Netype,Type,hs_category
Alarmname,1.0,0.9862800870223847,0.8681383105955622,0.9964542635005813,1.0
Severity,0.9862800870223847,1.0,0.6351874800675578,0.8103594874624289,0.177635042242476
Netype,0.8681383105955622,0.6351874800675578,1.0,0.4900428530738062,0.3033116202103212
Type,0.9964542635005813,0.8103594874624289,0.4900428530738062,1.0,0.36794188893542185
hs_category,1.0,0.177635042242476,0.3033116202103212,0.36794188893542185,1.0
